SPECIES_NR,WETNAAM,NEDNAAM,SYNONYM,VALID_NR,GROEP,HIDE,GENUS_WET,GENUS_NED,FAM_NR
1,Acer campestre,Spaanse aak,0,1,1,0,Acer,Esdoorn,101.0
2,Acer pseudoplatanus,Gewone esdoorn,0,2,1,0,Acer,Esdoorn,101.0
3,Aceras anthropophorum,,1,3,1,0,Aceras,Poppenorchis,35.0
3,Orchis anthropophora,Poppenorchis,0,3,1,0,Orchis,Orchis,35.0
4,Achillea millefolium,Gewoon duizendblad,0,4,1,0,Achillea,Duizendblad,136.0
5,Achillea ptarmica,Wilde bertram,0,5,1,0,Achillea,Duizendblad,136.0
6,Aconitum vulparia,Gele monnikskap,0,6,1,0,Aconitum,Monnikskap,50.0
7,Acorus calamus,Kalmoes,0,7,1,0,Acorus,Kalmoes,21.0
8,Actaea spicata,Christoffelkruid,0,8,1,0,Actaea,Christoffelkruid,50.0
9,Adonis vernalis,Voorjaarsadonis,0,9,1,1,Adonis,Adonis,50.0
10,Adoxa moschatellina,Muskuskruid,0,10,1,0,Adoxa,Muskuskruid,132.0
11,Aegopodium podagraria,Zevenblad,0,11,1,0,Aegopodium,Zevenblad,131.0
12,Aethusa cynapium,Hondspeterselie,0,12,1,0,Aethusa,Hondspeterselie,131.0
13,Agrimonia eupatoria,Gewone agrimonie,0,13,1,0,Agrimonia,Agrimonie,83.0
14,Agrimonia procera,Welriekende agrimonie,0,14,1,0,Agrimonia,Agrimonie,83.0
15,Agrostemma githago,Bolderik,0,15,1,0,Agrostemma,Bolderik,58.0
16,Agrostis canina s.l. (vóór ca. 1980),,1,16,1,1,Agrostis,Struisgras,44.0
16,Agrostis canina/vinealis,Moeras-/Zandstruisgras,0,16,1,0,Agrostis,Struisgras,44.0
17,Agrostis gigantea,Hoog struisgras,0,17,1,0,Agrostis,Struisgras,44.0
18,Agrostis stolonifera,Fioringras,0,18,1,0,Agrostis,Struisgras,44.0
19,Agrostis capillaris,Gewoon struisgras,0,19,1,0,Agrostis,Struisgras,44.0
19,Agrostis tenuis,,1,19,1,1,Agrostis,Struisgras,44.0
20,Aira caryophyllea,Zilverhaver,0,20,1,0,Aira,Dwerghaver,44.0
21,Aira praecox,Vroege haver,0,21,1,0,Aira,Dwerghaver,44.0
22,Ajuga chamaepitys,Akkerzenegroen,0,22,1,0,Ajuga,Zenegroen,123.0
23,Ajuga genevensis,Harig zenegroen,0,23,1,1,Ajuga,Zenegroen,123.0
24,Ajuga reptans,Kruipend zenegroen,0,24,1,0,Ajuga,Zenegroen,123.0
25,Alchemilla vulgaris s.l.,Vrouwenmantel (groep),0,25,1,0,Alchemilla,Vrouwenmantel,83.0
26,Alisma gramineum,Smalle waterweegbree,0,26,1,0,Alisma,Waterweegbree,25.0
27,Alisma lanceolatum,Slanke waterweegbree,0,27,1,0,Alisma,Waterweegbree,25.0
28,Alisma plantago-aquatica,Grote waterweegbree,0,28,1,0,Alisma,Waterweegbree,25.0
29,Alliaria officinalis,,1,29,1,1,Alliaria,Look-zonder-look,97.0
29,Alliaria petiolata,Look-zonder-look,0,29,1,0,Alliaria,Look-zonder-look,97.0
30,Allium carinatum,Berglook,0,30,1,0,Allium,Look,39.0
31,Allium oleraceum,Moeslook,0,31,1,0,Allium,Look,39.0
32,Allium schoenoprasum,Bieslook,0,32,1,0,Allium,Look,39.0
33,Allium scorodoprasum,Slangenlook,0,33,1,0,Allium,Look,39.0
34,Allium ursinum,Daslook,0,34,1,0,Allium,Look,39.0
35,Allium vineale,Kraailook,0,35,1,0,Allium,Look,39.0
36,Alnus glutinosa,Zwarte els,0,36,1,0,Alnus,Els,93.0
37,Alnus incana,Witte els,0,37,1,0,Alnus,Els,93.0
38,Alopecurus aequalis,Rosse vossenstaart,0,38,1,0,Alopecurus,Vossenstaart,44.0
39,Alopecurus bulbosus,Knolvossenstaart,0,39,1,0,Alopecurus,Vossenstaart,44.0
40,Alopecurus geniculatus,Geknikte vossenstaart,0,40,1,0,Alopecurus,Vossenstaart,44.0
41,Alopecurus myosuroides,Duist,0,41,1,0,Alopecurus,Vossenstaart,44.0
42,Alopecurus pratensis,Grote vossenstaart,0,42,1,0,Alopecurus,Vossenstaart,44.0
43,Althaea officinalis,Heemst,0,43,1,0,Althaea,Heemst,98.0
44,Alyssum alyssoides,Bleek schildzaad,0,44,1,0,Alyssum,Schildzaad,97.0
45,Amaranthus angustifolius,,1,45,1,1,Amaranthus,Amarant,59.0
45,Amaranthus graecizans,Afrikaanse amarant,0,45,1,0,Amaranthus,Amarant,59.0
46,Amaranthus blitum,Kleine majer,0,46,1,0,Amaranthus,Amarant,59.0
46,Amaranthus lividus,,1,46,1,1,Amaranthus,Amarant,59.0
47,Amaranthus retroflexus,Papegaaienkruid,0,47,1,0,Amaranthus,Amarant,59.0
48,Ambrosia artemisiifolia,Alsemambrosia,0,48,1,0,Ambrosia,Ambrosia,136.0
49,Ammocalamagrostis baltica (x),,1,49,1,1,Ammocalamagrostis,,44.0
49,Ammophila arenaria x Calamagrostis epigejos,,1,49,1,0,Ammophila,Helm,44.0
49,Ammophila baltica,,1,49,1,1,Ammophila,Helm,44.0
49,Calammophila baltica (x),Noordse helm,0,49,1,0,Calammophila,,44.0
50,Ammophila arenaria,Helm,0,50,1,0,Ammophila,Helm,44.0
51,Anacamptis pyramidalis,Hondskruid,0,51,1,0,Anacamptis,Hondskruid,35.0
52,Anagallis arvensis s. arvensis,Rood guichelheil,0,52,1,0,Anagallis,Guichelheil,109.0
52,Anagallis arvensis s. phoenicea,,1,52,1,1,Anagallis,Guichelheil,109.0
53,Anagallis tenella,Teer guichelheil,0,53,1,0,Anagallis,Guichelheil,109.0
54,Anchusa officinalis,Gewone ossentong,0,54,1,0,Anchusa,Ossentong,113.0
55,Andromeda polifolia,Lavendelhei,0,55,1,0,Andromeda,Lavendelhei,112.0
56,Anemone nemorosa,Bosanemoon,0,56,1,0,Anemone,Anemoon,50.0
57,Anemone pulsatilla,,1,57,1,1,Anemone,Anemoon,50.0
57,Pulsatilla vulgaris,Wildemanskruid,0,57,1,0,Pulsatilla,Wildemanskruid,50.0
58,Anemone ranunculoides,Gele anemoon,0,58,1,0,Anemone,Anemoon,50.0
59,Angelica archangelica,Grote engelwortel,0,59,1,0,Angelica,Engelwortel,131.0
60,Angelica sylvestris,Gewone engelwortel,0,60,1,0,Angelica,Engelwortel,131.0
61,Antennaria dioica,Rozenkransje,0,61,1,0,Antennaria,Rozenkransje,136.0
62,Anthemis arvensis,Valse kamille,0,62,1,0,Anthemis,Schubkamille,136.0
63,Anthemis cotula,Stinkende kamille,0,63,1,0,Anthemis,Schubkamille,136.0
64,Anthemis tinctoria,Gele kamille,0,64,1,0,Anthemis,Schubkamille,136.0
65,Anthericum liliago,Grote graslelie,0,65,1,0,Anthericum,Graslelie,37.0
66,Anthoxanthum odoratum,Gewoon reukgras,0,66,1,0,Anthoxanthum,Reukgras,44.0
67,Anthoxanthum aristatum,Slofhak,0,67,1,0,Anthoxanthum,Reukgras,44.0
67,Anthoxanthum puelii,,1,67,1,1,Anthoxanthum,Reukgras,44.0
68,Anthriscus caucalis,Fijne kervel,0,68,1,0,Anthriscus,Kervel,131.0
68,Anthriscus scandicina,,1,68,1,1,Anthriscus,Kervel,131.0
69,Anthriscus cerefolium,Echte kervel,0,69,1,0,Anthriscus,Kervel,131.0
70,Anthriscus sylvestris,Fluitenkruid,0,70,1,0,Anthriscus,Kervel,131.0
71,Anthyllis vulneraria,Wondklaver,0,71,1,0,Anthyllis,Wondklaver,81.0
72,Antirrhinum orontium,,1,72,1,1,Antirrhinum,Leeuwenbek,127.0
72,Misopates orontium,Akkerleeuwenbek,0,72,1,0,Misopates,Akkerleeuwenbek,127.0
73,Apera spica-venti,Grote windhalm,0,73,1,0,Apera,Windhalm,44.0
74,Aphanes arvensis,Grote leeuwenklauw,0,74,1,0,Aphanes,Leeuwenklauw,83.0
75,Aphanes australis,Kleine leeuwenklauw,0,75,1,0,Aphanes,Leeuwenklauw,83.0
75,Aphanes inexpectata,,1,75,1,0,Aphanes,Leeuwenklauw,83.0
75,Aphanes microcarpa,,1,75,1,0,Aphanes,Leeuwenklauw,83.0
76,Apium graveolens,Selderij,0,76,1,0,Apium,Moerasscherm,131.0
77,Apium inundatum,Ondergedoken moerasscherm,0,77,1,0,Apium,Moerasscherm,131.0
77,Helosciadium inundatum,,1,77,1,0,Helosciadium,,131.0
78,Apium nodiflorum,Groot moerasscherm,0,78,1,0,Apium,Moerasscherm,131.0
78,Helosciadium nodiflorum,,1,78,1,0,Helosciadium,,131.0
79,Apium repens,Kruipend moerasscherm,0,79,1,0,Apium,Moerasscherm,131.0
79,Helosciadium repens,,1,79,1,0,Helosciadium,,131.0
80,Aquilegia vulgaris,Wilde akelei,0,80,1,0,Aquilegia,Akelei,50.0
81,Arabidopsis thaliana,Zandraket,0,81,1,0,Arabidopsis,Zandraket,97.0
82,Arabis hirsuta s. hirsuta,Ruige scheefkelk,0,82,1,0,Arabis,Scheefkelk,97.0
83,Arctium lappa,Grote klit,0,83,1,0,Arctium,Klit,136.0
84,Arctium minus s.str.,Kleine klit,1,2457,1,0,Arctium,Klit,136.0
85,Arctium nemorosum,Bosklit,0,85,1,0,Arctium,Klit,136.0
86,Arctium pubens,Middelste klit,1,2457,1,0,Arctium,Klit,136.0
86,Arctium vulgare,,1,83,1,1,Arctium,Klit,136.0
87,Arctium tomentosum,Donzige klit,0,87,1,0,Arctium,Klit,136.0
88,Arctostaphylos uva-ursi,Berendruif,0,88,1,0,Arctostaphylos,Berendruif,112.0
89,Arenaria serpyllifolia,Gewone zandmuur,0,89,1,0,Arenaria,Zandmuur,58.0
90,Aristolochia clematitis,Pijpbloem,0,90,1,0,Aristolochia,Pijpbloem,48.0
91,Armeria maritima,Engels gras,0,91,1,0,Armeria,Engels gras,56.0
92,Armoracia rusticana,Mierik,0,92,1,0,Armoracia,Mierik,97.0
93,Arnica montana,Valkruid,0,93,1,0,Arnica,Valkruid,136.0
94,Arnoseris minima,Korensla,0,94,1,0,Arnoseris,Korensla,136.0
95,Aronia arbutifolia,,0,95,1,0,Aronia,Appelbes,83.0
96,Arrhenatherum elatius,Glanshaver,0,96,1,0,Arrhenatherum,Glanshaver,44.0
97,Artemisia absinthium,Absintalsem,0,97,1,0,Artemisia,Alsem,136.0
98,Artemisia campestris s. campestris,Wilde averuit,0,98,1,0,Artemisia,Alsem,136.0
99,Artemisia campestris s. maritima,Duinaveruit,0,99,1,0,Artemisia,Alsem,136.0
99,Artemisia lloydii,,1,99,1,1,Artemisia,Alsem,136.0
100,Artemisia maritima,Zeealsem,0,100,1,0,Artemisia,Alsem,136.0
100,Seriphidium maritimum,,1,100,1,0,Seriphidium,Zeealsem,136.0
101,Artemisia vulgaris,Bijvoet,0,101,1,0,Artemisia,Alsem,136.0
102,Arum italicum,Italiaanse aronskelk,0,102,1,0,Arum,Aronskelk,22.0
103,Arum maculatum,Gevlekte aronskelk,0,103,1,0,Arum,Aronskelk,22.0
104,Asparagus officinalis s. officinalis,Asperge,0,104,1,0,Asparagus,Asperge,37.0
105,Asparagus officinalis s. prostratus,Liggende asperge,0,105,1,0,Asparagus,Asperge,37.0
106,Asperugo procumbens,Scherpkruid,0,106,1,0,Asperugo,Scherpkruid,113.0
107,Asperula arvensis,Akkerbedstro,0,107,1,1,Asperula,Bedstro,114.0
108,Asperula cynanchica,Kalkbedstro,0,108,1,1,Asperula,Bedstro,114.0
109,Galium glaucum,Zeegroen walstro,0,109,1,1,Galium,Walstro,114.0
110,Asperula odorata,,1,110,1,1,Asperula,Bedstro,114.0
110,Galium odoratum,Lievevrouwebedstro,0,110,1,0,Galium,Walstro,114.0
111,Asplenium adiantum-nigrum,Zwartsteel,0,111,1,0,Asplenium,Streepvaren,14.0
112,Asplenium ruta-muraria,Muurvaren,0,112,1,0,Asplenium,Streepvaren,14.0
113,Asplenium trichomanes,Steenbreekvaren,0,113,1,0,Asplenium,Streepvaren,14.0
114,Aster lanceolatus,Smalle aster,1,5479,1,0,Aster,Aster,136.0
116,Aster tradescantii,Kleine aster,1,5479,1,0,Aster,Aster,136.0
117,Aster tripolium,Zulte,0,117,1,0,Aster,Aster,136.0
118,Astragalus glycyphyllos,Wilde hokjespeul,0,118,1,0,Astragalus,Hokjespeul,81.0
119,Athyrium filix-femina,Wijfjesvaren,0,119,1,0,Athyrium,Wijfjesvaren,16.0
120,Atriplex babingtonii,,1,120,1,1,Atriplex,Melde,59.0
120,Atriplex glabriuscula,Kustmelde,0,120,1,0,Atriplex,Melde,59.0
121,Atriplex hastata,,1,121,1,1,Atriplex,Melde,59.0
121,Atriplex prostrata,Spiesmelde,0,121,1,0,Atriplex,Melde,59.0
121,Atriplex prostrata v. prostrata,,1,121,1,1,Atriplex,Melde,59.0
122,Atriplex littoralis,Strandmelde,0,122,1,0,Atriplex,Melde,59.0
123,Atriplex patula,Uitstaande melde,0,123,1,0,Atriplex,Melde,59.0
124,Atriplex laciniata,Gelobde melde,0,124,1,0,Atriplex,Melde,59.0
124,Atriplex maritima,,1,124,1,1,Atriplex,Melde,59.0
124,Atriplex sabulosa,,1,124,1,1,Atriplex,Melde,59.0
125,Atropa bella-donna,Wolfskers,0,125,1,0,Atropa,Wolfskers,117.0
126,Avena fatua,Oot,0,126,1,0,Avena,Haver,44.0
127,Azolla caroliniana,,1,127,1,0,Azolla,Kroosvaren,6.0
127,Azolla cristata,Kleine kroosvaren,0,127,1,0,Azolla,Kroosvaren,6.0
127,Azolla mexicana,,1,127,1,0,Azolla,Kroosvaren,6.0
128,Azolla filiculoides,Grote kroosvaren,0,128,1,0,Azolla,Kroosvaren,6.0
129,Ballota nigra s. foetida,,1,129,1,0,Ballota,Ballote,123.0
129,Ballota nigra s. meridionalis,Stinkende ballote,0,129,1,0,Ballota,Ballote,123.0
130,Barbarea intermedia,Bitter barbarakruid,0,130,1,0,Barbarea,Barbarakruid,97.0
131,Barbarea stricta,Stijf barbarakruid,0,131,1,0,Barbarea,Barbarakruid,97.0
132,Barbarea verna,Vroeg barbarakruid,0,132,1,0,Barbarea,Barbarakruid,97.0
133,Barbarea vulgaris,Gewoon barbarakruid,0,133,1,0,Barbarea,Barbarakruid,97.0
134,Bassia hirsuta,Ruig zoutkruid,0,134,1,1,Bassia,Ruig zoutkruid,59.0
135,Bellis perennis,Madeliefje,0,135,1,0,Bellis,Madeliefje,136.0
136,Berberis vulgaris,Zuurbes,0,136,1,0,Berberis,Berberis,49.0
137,Berteroa incana,Grijskruid,0,137,1,0,Berteroa,Grijskruid,97.0
138,Beta maritima,,1,138,1,1,Beta,Biet,59.0
138,Beta vulgaris s. maritima,Strandbiet,0,138,1,0,Beta,Biet,59.0
139,Betula pubescens,Zachte berk,0,139,1,0,Betula,Berk,93.0
140,Betula pendula,Ruwe berk,0,140,1,0,Betula,Berk,93.0
140,Betula verrucosa,,1,140,1,1,Betula,Berk,93.0
141,Bidens cernua,Knikkend tandzaad,0,141,1,0,Bidens,Tandzaad,136.0
142,Bidens connata,Smal tandzaad,0,142,1,0,Bidens,Tandzaad,136.0
143,Bidens frondosa,Zwart tandzaad,0,143,1,0,Bidens,Tandzaad,136.0
143,Bidens melanocarpus,,1,143,1,1,Bidens,Tandzaad,136.0
144,Bidens tripartita,Veerdelig tandzaad,0,144,1,0,Bidens,Tandzaad,136.0
145,Blackstonia perfoliata s. serotina,Herfstbitterling,0,145,1,0,Blackstonia,Bitterling,115.0
146,Blechnum spicant,Dubbelloof,0,146,1,0,Blechnum,Dubbelloof,12.0
147,Borago officinalis,Bernagie,0,147,1,0,Borago,Bernagie,113.0
148,Botrychium lunaria,Gelobde maanvaren,0,148,1,0,Botrychium,Maanvaren,3.0
149,Botrychium matricariifolium,Vertakte maanvaren,0,149,1,1,Botrychium,Maanvaren,3.0
150,Brachypodium pinnatum,Gevinde kortsteel,0,150,1,0,Brachypodium,Kortsteel,44.0
151,Brachypodium sylvaticum,Boskortsteel,0,151,1,0,Brachypodium,Kortsteel,44.0
152,Brassica nigra,Zwarte mosterd,0,152,1,0,Brassica,Kool,97.0
153,Briza media,Bevertjes,0,153,1,0,Briza,Trilgras,44.0
154,Bromus arvensis,Akkerdravik,0,154,1,0,Bromus,Dravik,44.0
155,Bromopsis ramosa s. benekenii,Bosdravik,0,155,1,0,Bromopsis,Vaste dravik,44.0
155,Bromus benekenii,,1,155,1,0,Bromus,Dravik,44.0
155,Bromus ramosus s. benekenii,,1,155,1,0,Bromus,Dravik,44.0
156,Bromus racemosus s. commutatus,Velddravik,0,156,1,0,Bromus,Dravik,44.0
157,Bromopsis erecta,Bergdravik,0,157,1,0,Bromopsis,Vaste dravik,44.0
157,Bromus erectus,,1,157,1,0,Bromus,Dravik,44.0
158,Bromus hordeaceus s. thominei,Duindravik,0,158,1,0,Bromus,Dravik,44.0
159,Bromopsis inermis s. inermis,Kweekdravik,0,159,1,0,Bromopsis,Vaste dravik,44.0
159,Bromus inermis,,1,159,1,0,Bromus,Dravik,44.0
160,Bromus lepidus,Sierlijke dravik,0,160,1,0,Bromus,Dravik,44.0
161,Bromus hordeaceus s. hordeaceus,Zachte dravik,0,161,1,0,Bromus,Dravik,44.0
161,Bromus mollis,,1,161,1,1,Bromus,Dravik,44.0
162,Bromus racemosus s. racemosus,Trosdravik,0,162,1,0,Bromus,Dravik,44.0
163,Bromopsis ramosa s. ramosa,Ruwe dravik,0,163,1,0,Bromopsis,Vaste dravik,44.0
163,Bromus asper,,1,163,1,1,Bromus,Dravik,44.0
163,Bromus ramosus,,1,163,1,0,Bromus,Dravik,44.0
163,Bromus ramosus s. ramosus,,1,163,1,0,Bromus,Dravik,44.0
164,Bromus secalinus,Dreps,0,164,1,0,Bromus,Dravik,44.0
165,Anisantha sterilis,IJle dravik,0,165,1,0,Anisantha,Waaierdravik,44.0
165,Bromus sterilis,,1,165,1,0,Bromus,Dravik,44.0
166,Anisantha tectorum,Zwenkdravik,0,166,1,0,Anisantha,Waaierdravik,44.0
166,Bromus tectorum,,1,166,1,0,Bromus,Dravik,44.0
167,Bryonia cretica s. dioica,,1,167,1,0,Bryonia,Heggenrank,90.0
167,Bryonia dioica,Heggenrank,0,167,1,0,Bryonia,Heggenrank,90.0
168,Bunias orientalis,Grote hardvrucht,0,168,1,0,Bunias,Hardvrucht,97.0
169,Bunium bulbocastanum,Aardkastanje,0,169,1,0,Bunium,Aardkastanje,131.0
170,Bupleurum tenuissimum,Fijn goudscherm,0,170,1,0,Bupleurum,Goudscherm,131.0
171,Butomus umbellatus,Zwanenbloem,0,171,1,0,Butomus,Zwanenbloem,23.0
172,Cakile maritima,Zeeraket,0,172,1,0,Cakile,Zeeraket,97.0
173,Calamagrostis canescens,Hennegras,0,173,1,0,Calamagrostis,Struisriet,44.0
174,Calamagrostis epigejos,Duinriet,0,174,1,0,Calamagrostis,Struisriet,44.0
175,Calamagrostis neglecta,,1,175,1,1,Calamagrostis,Struisriet,44.0
175,Calamagrostis stricta,Stijf struisriet,0,175,1,0,Calamagrostis,Struisriet,44.0
176,Calamagrostis pseudophragmites,Rivierstruisriet,0,176,1,0,Calamagrostis,Struisriet,44.0
177,Calepina irregularis,Kalkraket,0,177,1,0,Calepina,Kalkraket,97.0
178,Calla palustris,Slangenwortel,0,178,1,0,Calla,Slangenwortel,22.0
179,Callitriche cophocarpa,Gekield sterrenkroos,0,179,1,0,Callitriche,Sterrenkroos,127.0
180,Callitriche brutia s.l.,Haaksterrenkroos,0,180,1,0,Callitriche,Sterrenkroos,127.0
180,Callitriche hamulata,,1,180,1,0,Callitriche,Sterrenkroos,127.0
181,Callitriche hermaphroditica,Rond sterrenkroos,0,181,1,0,Callitriche,Sterrenkroos,127.0
182,Callitriche obtusangula,Stomphoekig sterrenkroos,0,182,1,0,Callitriche,Sterrenkroos,127.0
183,Callitriche palustris,Klein sterrenkroos,0,183,1,0,Callitriche,Sterrenkroos,127.0
184,Callitriche platycarpa,Gewoon sterrenkroos,0,184,1,0,Callitriche,Sterrenkroos,127.0
185,Callitriche stagnalis,Gevleugeld sterrenkroos,0,185,1,0,Callitriche,Sterrenkroos,127.0
186,Calluna vulgaris,Struikhei,0,186,1,0,Calluna,Struikhei,112.0
187,Caltha palustris s. palustris,Gewone dotterbloem,0,187,1,0,Caltha,Dotterbloem,50.0
188,Calystegia sepium,,1,188,1,0,Calystegia,Dubbelkelkwinde,118.0
188,Convolvulus sepium,Haagwinde,0,188,1,0,Convolvulus,Winde,118.0
189,Calystegia soldanella,,1,189,1,0,Calystegia,Dubbelkelkwinde,118.0
189,Convolvulus soldanella,Zeewinde,0,189,1,0,Convolvulus,Winde,118.0
190,Camelina sativa s. alyssum,Vlashuttentut,0,190,1,1,Camelina,Huttentut,97.0
191,Campanula glomerata,Kluwenklokje,0,191,1,0,Campanula,Klokje,134.0
192,Campanula latifolia,Breed klokje,0,192,1,0,Campanula,Klokje,134.0
193,Campanula patula,Weideklokje,0,193,1,0,Campanula,Klokje,134.0
194,Campanula persicifolia,Prachtklokje,0,194,1,0,Campanula,Klokje,134.0
195,Campanula rapunculoides,Akkerklokje,0,195,1,0,Campanula,Klokje,134.0
196,Campanula rapunculus,Rapunzelklokje,0,196,1,0,Campanula,Klokje,134.0
197,Campanula rhomboidalis,Bergklokje,0,197,1,1,Campanula,Klokje,134.0
198,Campanula rotundifolia,Grasklokje,0,198,1,0,Campanula,Klokje,134.0
199,Campanula trachelium,Ruig klokje,0,199,1,0,Campanula,Klokje,134.0
200,Capsella bursa-pastoris,Herderstasje,0,200,1,0,Capsella,Herderstasje,97.0
201,Cardamine amara,Bittere veldkers,0,201,1,0,Cardamine,Veldkers,97.0
202,Cardamine flexuosa,Bosveldkers,0,202,1,0,Cardamine,Veldkers,97.0
203,Cardamine hirsuta,Kleine veldkers,0,203,1,0,Cardamine,Veldkers,97.0
204,Cardamine impatiens,Springzaadveldkers,0,204,1,0,Cardamine,Veldkers,97.0
205,Cardamine pratensis,Pinksterbloem,0,205,1,0,Cardamine,Veldkers,97.0
206,Arabidopsis arenosa,Rozetsteenkers,0,206,1,0,Arabidopsis,Zandraket,97.0
206,Arabis arenosa,,1,206,1,0,Arabis,Scheefkelk,97.0
206,Cardaminopsis arenosa,,1,206,1,0,Cardaminopsis,,97.0
207,Carduus acanthoides,Langstekelige distel,0,207,1,0,Carduus,Distel,136.0
208,Carduus crispus,Kruldistel,0,208,1,0,Carduus,Distel,136.0
209,Carduus nutans,Knikkende distel,0,209,1,0,Carduus,Distel,136.0
210,Carduus tenuiflorus,Tengere distel,0,210,1,0,Carduus,Distel,136.0
211,Carex acuta,Scherpe zegge,0,211,1,0,Carex,Zegge,43.0
211,Carex gracilis,,1,211,1,1,Carex,Zegge,43.0
212,Carex acutiformis,Moeraszegge,0,212,1,0,Carex,Zegge,43.0
213,Carex appropinquata,Paardenhaarzegge,0,213,1,0,Carex,Zegge,43.0
214,Carex aquatilis,Noordse zegge,0,214,1,0,Carex,Zegge,43.0
215,Carex arenaria,Zandzegge,0,215,1,0,Carex,Zegge,43.0
216,Carex brizoides,Trilgraszegge,0,216,1,0,Carex,Zegge,43.0
217,Carex buxbaumii,Knotszegge,0,217,1,0,Carex,Zegge,43.0
218,Carex caryophyllea,Voorjaarszegge,0,218,1,0,Carex,Zegge,43.0
219,Carex canescens,,1,219,1,0,Carex,Zegge,43.0
219,Carex curta,Zompzegge,0,219,1,0,Carex,Zegge,43.0
220,Carex demissa,,1,220,1,0,Carex,Zegge,43.0
220,Carex lepidocarpa auct. (vóór ca. 1950),,1,220,1,1,Carex,Zegge,43.0
220,Carex oederi s. oedocarpa,Geelgroene zegge,0,220,1,0,Carex,Zegge,43.0
220,Carex tumidicarpa,,1,220,1,0,Carex,Zegge,43.0
221,Carex diandra,Ronde zegge,0,221,1,0,Carex,Zegge,43.0
222,Carex digitata,Vingerzegge,0,222,1,0,Carex,Zegge,43.0
223,Carex dioica,Tweehuizige zegge,0,223,1,0,Carex,Zegge,43.0
224,Carex distans,Zilte zegge,0,224,1,0,Carex,Zegge,43.0
225,Carex disticha,Tweerijige zegge,0,225,1,0,Carex,Zegge,43.0
226,Carex divisa,Waardzegge,0,226,1,0,Carex,Zegge,43.0
227,Carex divulsa s. divulsa,IJle bermzegge,0,227,1,0,Carex,Zegge,43.0
228,Carex echinata,Sterzegge,0,228,1,0,Carex,Zegge,43.0
229,Carex elongata,Elzenzegge,0,229,1,0,Carex,Zegge,43.0
230,Carex ericetorum,Heidezegge,0,230,1,0,Carex,Zegge,43.0
231,Carex extensa,Kwelderzegge,0,231,1,0,Carex,Zegge,43.0
232,Carex flacca,Zeegroene zegge,0,232,1,0,Carex,Zegge,43.0
233,Carex flava,Gele zegge,0,233,1,0,Carex,Zegge,43.0
234,Carex hartmanii,Kleine knotszegge,0,234,1,0,Carex,Zegge,43.0
235,Carex hirta,Ruige zegge,0,235,1,0,Carex,Zegge,43.0
236,Carex hostiana,Blonde zegge,0,236,1,0,Carex,Zegge,43.0
237,Carex elata,Stijve zegge,0,237,1,0,Carex,Zegge,43.0
237,Carex hudsonii,,1,237,1,1,Carex,Zegge,43.0
237,Carex reticulosa,,1,237,1,1,Carex,Zegge,43.0
238,Carex laevigata,Gladde zegge,0,238,1,0,Carex,Zegge,43.0
239,Carex lasiocarpa,Draadzegge,0,239,1,0,Carex,Zegge,43.0
240,Carex lepidocarpa,Schubzegge,0,240,1,0,Carex,Zegge,43.0
241,Carex ligerica,Rivierduinzegge,0,241,1,0,Carex,Zegge,43.0
242,Carex limosa,Slijkzegge,0,242,1,0,Carex,Zegge,43.0
243,Carex muricata,Dichte bermzegge,0,243,1,0,Carex,Zegge,43.0
243,Carex pairae,,1,243,1,0,Carex,Zegge,43.0
244,Carex nigra,Zwarte zegge,0,244,1,0,Carex,Zegge,43.0
244,Carex stolonifera,,1,244,1,1,Carex,Zegge,43.0
245,Carex cuprina,,1,245,1,0,Carex,Zegge,43.0
245,Carex otrubae,Valse voszegge,0,245,1,0,Carex,Zegge,43.0
245,Carex vulpina auct. (vóór ca. 1940),,1,245,1,1,Carex,Zegge,43.0
246,Carex leporina,,1,246,1,0,Carex,Zegge,43.0
246,Carex ovalis,Hazenzegge,0,246,1,0,Carex,Zegge,43.0
247,Carex pallescens,Bleke zegge,0,247,1,0,Carex,Zegge,43.0
248,Carex panicea,Blauwe zegge,0,248,1,0,Carex,Zegge,43.0
249,Carex paniculata,Pluimzegge,0,249,1,0,Carex,Zegge,43.0
250,Carex pendula,Hangende zegge,0,250,1,0,Carex,Zegge,43.0
251,Carex pilulifera,Pilzegge,0,251,1,0,Carex,Zegge,43.0
252,Carex divulsa s. leersii,Bleke bermzegge,0,252,1,0,Carex,Zegge,43.0
252,Carex leersii,,1,252,1,0,Carex,Zegge,43.0
252,Carex polyphylla,,1,252,1,1,Carex,Zegge,43.0
253,Carex praecox,Vroege zegge,0,253,1,0,Carex,Zegge,43.0
254,Carex pseudocyperus,Hoge cyperzegge,0,254,1,0,Carex,Zegge,43.0
255,Carex pulicaris,Vlozegge,0,255,1,0,Carex,Zegge,43.0
256,Carex punctata,Stippelzegge,0,256,1,0,Carex,Zegge,43.0
257,Carex reichenbachii,Valse zandzegge,0,257,1,0,Carex,Zegge,43.0
258,Carex remota,IJle zegge,0,258,1,0,Carex,Zegge,43.0
259,Carex riparia,Oeverzegge,0,259,1,0,Carex,Zegge,43.0
260,Carex rostrata,Snavelzegge,0,260,1,0,Carex,Zegge,43.0
261,Carex oederi s. oederi,Dwergzegge,0,261,1,0,Carex,Zegge,43.0
261,Carex oederi s. pulchella,,1,261,1,1,Carex,Zegge,43.0
261,Carex scandinavica,,1,261,1,1,Carex,Zegge,43.0
